x,y (Euler),y (midpoint),y (RK44),EXACT,%Err(E),%Err(M),%Err(RK4)
----,----------,----------,----------,----------,-------,-------,------
0,0,0,0,0,-nan(ind)%,-nan(ind)%,-nan(ind)%
0.1,0.5,0.5090369272,0.5040147599,0.4786946395,0.044507%,0.063385%,0.052894%
0.2,0.9860882804,0.9418917554,0.9299833736,0.8317770765,0.18552%,0.13238%,0.11807%
0.3,1.336761843,1.178280127,1.158938591,0.9542292819,0.40088%,0.2348%,0.21453%
0.4,1.453584287,1.136380907,1.110627992,0.7899560619,0.84008%,0.43854%,0.40594%
0.5,1.28927035,0.7981592984,0.7684526188,0.3515159968,2.6677%,1.2706%,1.1861%
0.6,0.8654303303,0.2207680347,0.1904774691,-0.2759236171,-4.1365%,-1.8001%,-1.6903%
0.7,0.2742737135,-0.470402004,-0.4978138899,-0.9490953497,-1.289%,-0.50437%,-0.47549%
0.8,-0.3378573082,-1.107144704,-1.129056656,-1.497773096,-0.77443%,-0.26081%,-0.24618%
0.9,-0.8027530548,-1.517667616,-1.533117725,-1.766198411,-0.54549%,-0.14072%,-0.13197%
1,-0.971671551,-1.570878628,-1.581041974,-1.655101866,-0.41292%,-0.050887%,-0.044746%
1.1,-0.7559488242,-1.214747006,-1.222913458,-1.153455737,-0.34462%,-0.053137%,-0.060217%
1.2,-0.1562476992,-0.4981410611,-0.5091470062,-0.3506218652,-0.55437%,-0.42074%,-0.45213%
1.3,0.7283561079,0.4312735709,0.4120685813,0.5763258447,0.26379%,0.25168%,0.28501%
1.4,1.715934898,1.355046339,1.323019094,1.39941881,0.22618%,0.031708%,0.054594%
1.5,2.580464313,2.033306318,1.985762151,1.893716734,0.36265%,0.073712%,0.048606%
1.6,3.106136933,2.264888984,2.20186874,1.896114299,0.63816%,0.19449%,0.16125%
1.7,3.144749623,1.943723238,1.868173695,1.354254485,1.3221%,0.43527%,0.37948%
1.8,2.661568066,1.0964239,1.013619327,0.3517897664,6.5658%,2.1167%,1.8813%
1.9,1.756533063,-0.1106615176,-0.1943761998,-0.8990646768,-2.9537%,-0.87691%,-0.7838%
2,0.6527034805,-1.399996434,-1.478886739,-2.099189358,-1.3109%,-0.33308%,-0.2955%
2.1,-0.3485024816,-2.443310353,-2.513966496,-2.931196696,-0.88111%,-0.16645%,-0.14234%
2.2,-0.9371188681,-2.941602204,-3.004245902,-3.140035773,-0.70156%,-0.063195%,-0.043245%
2.3,-0.873976159,-2.70594543,-2.764948334,-2.605865792,-0.66461%,-0.038406%,-0.061048%
2.4,-0.05994660124,-1.71816828,-1.781566264,-1.389436847,-0.95686%,-0.23659%,-0.28222%
2.5,1.423979884,-0.1535146925,-0.2315408363,0.2647132017,4.3793%,1.5799%,1.8747%
2.6,3.319281279,1.644605198,1.54168834,1.972513488,0.68277%,0.16624%,0.21841%
2.7,5.238969258,3.236248676,3.100524943,3.295550112,0.58971%,0.017994%,0.059178%
2.8,6.755270333,4.189210793,4.01709566,3.849345702,0.75491%,0.088292%,0.043579%
2.9,7.507190201,4.192252154,3.985526889,3.409002451,1.2022%,0.22976%,0.16912%
3,7.302089591,3.148785464,2.914307734,1.9844624,2.6796%,0.58672%,0.46856%
3.1,6.184236647,1.224605964,0.972629052,-0.1573793387,-40.295%,-8.7812%,-7.1802%
3.2,4.449044884,-1.167577779,-1.426190757,-2.535047732,-2.755%,-0.53943%,-0.43741%
3.3,2.593589867,-3.449436793,-3.706500293,-4.555111744,-1.5694%,-0.24273%,-0.1863%
3.4,1.209577795,-5.009923054,-5.262921367,-5.65471171,-1.2139%,-0.11403%,-0.069286%
3.5,0.8405527212,-5.360649903,-5.614631006,-5.451127388,-1.1542%,-0.016598%,-0.029994%
3.6,1.836719894,-4.275713547,-4.543483006,-3.860236983,-1.4758%,-0.10763%,-0.177%
3.7,4.244893938,-1.877962749,-2.178355567,-1.149794081,-4.6919%,-0.6333%,-0.89456%
3.8,7.765893459,1.356347703,1.001862248,2.093185657,2.7101%,0.35202%,0.52137%
3.9,11.797567,4.68431418,4.255978576,5.081481203,1.3217%,0.07816%,0.16245%
4,15.56128357,7.261608412,6.745634215,7.011300877,1.2195%,0.035701%,0.037891%
4.1,18.28779237,8.351461123,7.743070647,7.269538737,1.5157%,0.14883%,0.065139%
4.2,19.42038688,7.527669226,6.8319912,5.613246872,2.4597%,0.34105%,0.21712%
4.3,18.78438686,4.818214028,4.048561713,2.271735735,7.2687%,1.1209%,0.78214%
4.4,16.67534928,0.745902688,-0.0804073784,-2.06338252,-9.0816%,-1.3615%,-0.96103%
4.5,13.83454839,-3.755363171,-4.622839038,-6.369403956,-3.172%,-0.41041%,-0.27421%
