x,y (H1),EXACT,%Err(H1)
----,----------,----------,-------
0,0,0,#NAME?
0.1,0.50401476,0.47869464,0.05%
0.2,0.929983374,0.831777077,0.12%
0.3,1.158938591,0.954229282,0.21%
0.4,1.110627992,0.789956062,0.41%
0.5,0.768452619,0.351515997,1.19%
0.6,0.190477469,-0.275923617,-1.69%
0.7,-0.49781389,-0.94909535,-0.48%
0.8,-1.129056656,-1.497773096,-0.25%
0.9,-1.533117725,-1.766198411,-0.13%
1,-1.581041974,-1.655101866,-0.04%
1.1,-1.222913458,-1.153455737,-0.06%
1.2,-0.509147006,-0.350621865,-0.45%
1.3,0.412068581,0.576325845,0.29%
1.4,1.323019094,1.39941881,0.05%
1.5,1.985762151,1.893716734,0.05%
1.6,2.20186874,1.896114299,0.16%
1.7,1.868173695,1.354254485,0.38%
1.8,1.013619327,0.351789766,1.88%
1.9,-0.1943762,-0.899064677,-0.78%
2,-1.478886739,-2.099189358,-0.30%
2.1,-2.513966496,-2.931196696,-0.14%
2.2,-3.004245902,-3.140035773,-0.04%
2.3,-2.764948334,-2.605865792,-0.06%
2.4,-1.781566264,-1.389436847,-0.28%
2.5,-0.231540836,0.264713202,1.87%
2.6,1.54168834,1.972513488,0.22%
2.7,3.100524943,3.295550112,0.06%
2.8,4.01709566,3.849345702,0.04%
2.9,3.985526889,3.409002451,0.17%
3,2.914307734,1.9844624,0.47%
3.1,0.972629052,-0.157379339,-7.18%
3.2,-1.426190757,-2.535047732,-0.44%
3.3,-3.706500293,-4.555111744,-0.19%
3.4,-5.262921367,-5.65471171,-0.07%
3.5,-5.614631006,-5.451127388,-0.03%
3.6,-4.543483006,-3.860236983,-0.18%
3.7,-2.178355567,-1.149794081,-0.89%
3.8,1.001862248,2.093185657,0.52%
3.9,4.255978576,5.081481203,0.16%
4,6.745634215,7.011300877,0.04%
4.1,7.743070647,7.269538737,0.07%
4.2,6.8319912,5.613246872,0.22%
4.3,4.048561713,2.271735735,0.78%
4.4,-0.080407378,-2.06338252,-0.96%
4.5,-4.622839038,-6.369403956,-0.27%
4.6,-8.441122943,-9.523631578,-0.11%
4.7,-10.46629701,-10.58477878,-0.01%
4.8,-9.983215155,-9.056798523,-0.10%
4.9,-6.853708459,-5.064690067,-0.35%
5,-1.613192731,0.612686932,3.63%
5.1,4.597706732,6.676361711,0.31%
5.2,10.26608596,11.59030574,0.11%
5.3,13.86098924,13.95589399,0.01%
5.4,14.22958423,12.89002144,0.10%
5.5,10.93668465,8.308942704,0.32%
5.6,4.453381201,1.03411664,3.31%
5.7,-3.870136268,-7.326185432,-0.47%
5.8,-12.06319514,-14.71230708,-0.18%
5.9,-17.98179125,-19.10127897,-0.06%
6,-19.84783646,-19.03668274,-0.04%
6.1,-16.74997531,-14.06692866,-0.19%
6.2,-8.971708122,-4.968355078,-0.81%
6.3,1.956659048,6.327489977,0.69%
6.4,13.52479088,17.11458886,0.21%
6.5,22.79198022,24.53461199,0.07%
6.6,27.1065171,26.30411207,0.03%
6.7,24.82557044,21.3687191,0.16%
6.8,15.84845493,10.30655718,0.54%
6.9,1.804998656,-4.650386369,-1.39%
7,-14.18624083,-20.02267639,-0.29%
7.1,-28.17228344,-31.85694538,-0.12%
7.2,-36.30581142,-36.70399056,-0.01%
7.3,-35.85664997,-32.56864722,-0.10%
7.4,-26.03915079,-19.58148703,-0.33%
7.5,-8.420983343,-0.188432918,-43.69%
7.6,13.23698217,21.24171375,0.38%
7.7,33.72789984,39.35100297,0.14%
7.8,47.60073669,49.08146215,0.03%
7.9,50.551947,47.02180157,0.08%
8,40.66514418,32.46758936,0.25%
8.1,19.16044889,7.88909816,1.43%
8.2,-9.592897427,-21.37712007,-0.55%
8.3,-38.88141649,-48.21437667,-0.19%
8.4,-61.14646828,-65.38908454,-0.06%
8.5,-69.86074193,-67.41931619,-0.04%
8.6,-61.33393679,-52.18441931,-0.18%
8.7,-35.97067969,-21.82992989,-0.65%
8.8,1.404009713,17.34162377,0.92%
8.9,42.33439851,56.07228801,0.25%
9,76.55081616,84.24508024,0.09%
9.1,94.44915487,93.42422699,0.01%
9.2,89.65808285,79.22541905,0.13%
9.3,61.03567726,42.88190055,0.42%
9.4,13.51631062,-8.485391593,-2.59%
9.5,-42.53333378,-63.10017515,-0.33%
9.6,-93.43846738,-107.103244,-0.13%
9.7,-125.4239703,-127.9370279,-0.02%
9.8,-128.1856199,-117.7476633,-0.09%
9.9,-97.93441991,-75.9218207,-0.29%
10,-39.0670402,-10.00767402,-2.90%
x,y (H2),EXACT,%Err(H2)
----,----------,----------,-------
0,0,0,0
0.05,0.253667303,0.247345011,0.03%
0.1,0.50400675,0.47869464,0.05%
0.15,0.734728364,0.678332185,0.08%
0.2,0.929970155,0.831777077,0.12%
0.25,1.075341417,0.926780652,0.16%
0.3,1.158924778,0.954229282,0.21%
0.35,1.172170372,0.908891934,0.29%
0.4,1.110619021,0.789956062,0.41%
0.45,0.97439909,0.601306468,0.62%
0.5,0.768453438,0.351515997,1.19%
0.55,0.502467986,0.053533894,8.39%
0.6,0.190491225,-0.275923617,-1.69%
0.65,-0.149746695,-0.61725655,-0.76%
0.7,-0.497786841,-0.94909535,-0.48%
0.75,-0.831618945,-1.249586146,-0.33%
0.8,-1.129019103,-1.497773096,-0.25%
0.85,-1.368969822,-1.674993769,-0.18%
0.9,-1.533075185,-1.766198411,-0.13%
0.95,-1.606879779,-1.761104221,-0.09%
1,-1.58100151,-1.655101866,-0.04%
1.05,-1.451995833,-1.449843164,0.00%
1.1,-1.222881969,-1.153455737,-0.06%
1.15,-0.903279903,-0.780351698,-0.16%
1.2,-0.509129381,-0.350621865,-0.45%
1.25,-0.061987571,0.110966732,1.56%
1.3,0.412070992,0.576325845,0.29%
1.35,0.883901731,1.015684326,0.13%
1.4,1.323009246,1.39941881,0.05%
1.45,1.699441651,1.699968735,0.00%
1.5,1.985747043,1.893716734,0.05%
1.55,2.158869309,1.962711525,0.10%
1.6,2.201858079,1.896114299,0.16%
1.65,2.105273215,1.691261301,0.24%
1.7,1.868177716,1.354254485,0.38%
1.75,1.498634017,0.900018045,0.67%
1.8,1.01364626,0.351789766,1.88%
1.85,0.438523849,-0.259949007,-2.69%
1.9,-0.194322403,-0.899064677,-0.78%
1.95,-0.847103108,-1.52580824,-0.44%
2,-1.478807796,-2.099189358,-0.30%
2.05,-2.047680431,-2.579552077,-0.21%
2.1,-2.513869853,-2.931196696,-0.14%
2.15,-2.842093461,-3.124881305,-0.09%
2.2,-3.004143292,-3.140035773,-0.04%
2.25,-2.981065059,-2.966530867,0.00%
2.3,-2.76485306,-2.605865792,-0.06%
2.35,-2.359527014,-2.07166786,-0.14%
2.4,-1.781489784,-1.389436847,-0.28%
2.45,-1.059106098,-0.595511778,-0.78%
2.5,-0.231489442,0.264713202,1.87%
2.55,0.653465359,1.139247489,0.43%
2.6,1.541715854,1.972513488,0.22%
2.65,2.37623657,2.708741347,0.12%
2.7,3.100537929,3.295550112,0.06%
2.75,3.662331097,3.687494298,0.01%
2.8,4.017110231,3.849345702,0.04%
2.85,4.131417254,3.758885608,0.10%
2.9,3.98556265,3.409002451,0.17%
2.95,3.575599205,2.808924298,0.27%
3,2.914383287,1.9844624,0.47%
3.05,2.031608566,0.977199442,1.08%
3.1,0.972757306,-0.157379339,-7.18%
3.15,-0.203018737,-1.352746057,-0.85%
3.2,-1.426006253,-2.535047732,-0.44%
3.25,-2.619877704,-3.627486121,-0.28%
3.3,-3.706266944,-4.555111744,-0.19%
3.35,-4.609710685,-5.249744672,-0.12%
3.4,-5.262656416,-5.65471171,-0.07%
3.45,-5.610217695,-5.729085551,-0.02%
3.5,-5.614357696,-5.451127388,-0.03%
3.55,-5.257202295,-4.820670494,-0.09%
3.6,-4.543224748,-3.860236983,-0.18%
3.65,-3.500103436,-2.614750888,-0.34%
3.7,-2.178129401,-1.149794081,-0.89%
3.75,-0.64812749,0.451557397,2.44%
3.8,1.002051271,2.093185657,0.52%
3.85,2.67231345,3.671451315,0.27%
3.9,4.256140541,5.081481203,0.16%
3.95,5.647118267,6.223857887,0.09%
4,6.745793942,7.011300877,0.04%
4.05,7.466437151,7.374908893,0.01%
4.1,7.74326349,7.269538737,0.07%
4.15,7.53569307,6.677930167,0.13%
4.2,6.832255728,5.613246872,0.22%
4.25,5.652822069,4.119788732,0.37%
4.3,4.048930878,2.271735735,0.78%
4.35,2.102094199,0.169903517,11.37%
4.4,-0.079914462,-2.06338252,-0.96%
4.45,-2.368653215,-4.291060906,-0.45%
4.5,-4.622222472,-6.369403956,-0.27%
4.55,-6.693711864,-8.156930609,-0.18%
4.6,-8.440402892,-9.523631578,-0.11%
4.65,-9.733173489,-10.35992882,-0.06%
4.7,-10.46550929,-10.58477878,-0.01%
4.75,-10.56152123,-10.1523538,-0.04%
4.8,-9.982402182,-9.056798523,-0.10%
4.85,-8.730827055,-7.334656308,-0.19%
4.9,-6.852907324,-5.064690067,-0.35%
4.95,-4.437448981,-2.36497535,-0.88%
5,-1.612423305,0.612686932,3.63%
5.05,1.46126515,3.690815831,0.60%
5.1,4.598450682,6.676361711,0.31%
5.15,7.600385352,9.37233849,0.19%
5.2,10.26683999,11.59030574,0.11%
5.25,12.408921,13.16294052,0.06%
5.3,13.86181441,13.95589399,0.01%
5.35,14.4966328,13.87813278,0.04%
5.4,14.23055642,12.89002144,0.10%
5.45,13.03452779,11.00850978,0.18%
5.5,10.93787928,8.308942704,0.32%
5.55,8.029437999,4.92320269,0.63%
5.6,4.454856659,1.03411664,3.31%
5.65,0.410148466,-3.13370436,-1.13%
5.7,-3.868352112,-7.326185432,-0.47%
5.75,-8.117139609,-11.27463714,-0.28%
5.8,-12.06111159,-14.71230708,-0.18%
5.85,-15.43068788,-17.39165542,-0.11%
5.9,-17.97945202,-19.10127897,-0.06%
5.95,-19.50120557,-19.68137624,-0.01%
6,-19.8453073,-19.03668274,-0.04%
6.05,-18.92922145,-17.14591391,-0.10%
6.1,-16.74732403,-14.06692866,-0.19%
6.15,-13.37520831,-9.937061643,-0.35%
6.2,-8.968981482,-4.968355078,-0.81%
6.25,-3.759340936,0.562264331,7.69%
6.3,1.959455997,6.327489977,0.69%
6.35,7.845280496,11.9681276,0.34%
6.4,13.52770748,17.11458886,0.21%
6.45,18.63041652,21.41015625,0.13%
6.5,22.79512079,24.53461199,0.07%
6.55,25.7055618,26.22672825,0.02%
6.6,27.11002809,26.30411207,0.03%
6.65,26.84087234,24.67899162,0.09%
6.7,24.82961621,21.3687191,0.16%
6.75,21.11644416,16.50004332,0.28%
6.8,15.85318726,10.30655718,0.54%
6.85,9.299271028,3.119134683,1.98%
6.9,1.810527469,-4.650386369,-1.39%
6.95,-6.178774036,-12.53157147,-0.51%
7,-14.17986778,-20.02267639,-0.29%
7.05,-21.67816925,-26.62134916,-0.19%
7.1,-28.16508549,-31.85694538,-0.12%
7.15,-33.17107053,-35.32245866,-0.06%
7.2,-36.29786151,-36.70399056,-0.01%
7.25,-37.24777751,-35.80573627,-0.04%
7.3,-35.84804421,-32.56864722,-0.10%
7.35,-32.06832292,-27.0812449,-0.18%
7.4,-26.02996693,-19.58148703,-0.33%
7.45,-18.00598497,-10.44910721,-0.72%
7.5,-8.411237749,-0.188432918,-43.64%
7.55,2.217002021,10.59770009,0.79%
7.6,13.24736839,21.24171375,0.38%
7.65,23.99023157,31.05095356,0.23%
7.7,33.73911589,39.35100297,0.14%
7.75,41.81532608,45.53004409,0.08%
7.8,47.61307275,49.08146215,0.03%
7.85,50.64221712,49.64186028,0.02%
7.9,50.56576058,47.02180157,0.08%
7.95,47.22939569,41.22692607,0.15%
8,40.68080878,32.46758936,0.25%
8.05,31.17696588,21.15581383,0.47%
8.1,19.17829668,7.88909816,1.43%
8.15,5.329479248,-6.578545955,-1.81%
8.2,-9.572624178,-21.37712007,-0.55%
8.25,-24.62247447,-35.57071139,-0.31%
8.3,-38.85859129,-48.21437667,-0.19%
8.35,-51.32259468,-58.41452411,-0.12%
8.4,-61.12107403,-65.38908454,-0.07%
8.45,-67.48644589,-68.52358674,-0.02%
8.5,-69.83282996,-67.41931619,-0.04%
8.55,-67.80309,-61.9300503,-0.09%
8.6,-61.30355786,-52.18441931,-0.17%
8.65,-50.52357303,-38.59171573,-0.31%
8.7,-35.93780124,-21.82992989,-0.65%
8.75,-18.29029972,-2.815870578,-5.50%
8.8,1.439580613,17.34162377,0.92%
8.85,22.08819175,37.4032376,0.41%
8.9,42.37306675,56.07228801,0.24%
8.95,60.96940577,72.07527692,0.15%
9,76.5932094,84.24508024,0.09%
9.05,88.08604727,91.60155289,0.04%
9.1,94.49608737,93.42422699,0.01%
9.15,95.14997704,89.31201667,0.07%
9.2,89.71047798,79.22541905,0.13%
9.25,78.21541402,63.50759659,0.23%
9.3,61.09446542,42.88190055,0.42%
9.35,39.16159269,18.4247871,1.13%
9.4,13.58232804,-8.485391593,-2.60%
9.45,-14.18324767,-36.24166092,-0.61%
9.5,-42.45941781,-63.10017515,-0.33%
9.55,-69.45167345,-87.28548611,-0.20%
9.6,-93.35617117,-107.103244,-0.13%
9.65,-112.475404,-121.0534544,-0.07%
9.7,-125.3329559,-127.9370279,-0.02%
9.75,-130.7799038,-126.9484172,-0.03%
9.8,-128.0855874,-117.7476633,-0.09%
9.85,-117.0061018,-100.5061571,-0.16%
9.9,-97.82495858,-75.9218207,-0.29%
9.95,-71.3618719,-45.20116409,-0.58%
10,-38.94746894,-10.00767402,-2.89%
x,y (H3),EXACT,%Err(H3)
----,----------,----------,-------
0,0,0,#NAME?
0.001,0.00500248,0.004999979,0.00%
0.002,0.010009838,0.009999832,0.00%
0.003,0.015021954,0.014999431,0.00%
0.004,0.020038704,0.019998652,0.00%
0.005,0.025059968,0.024997367,0.00%
0.006,0.030085622,0.029995448,0.00%
0.007,0.035115544,0.034992771,0.00%
0.008,0.040149612,0.039989206,0.00%
0.009,0.045187702,0.044984628,0.00%
0.01,0.050229691,0.049978908,0.01%
0.011,0.055275456,0.054971921,0.01%
0.012,0.060324872,0.059963537,0.01%
0.013,0.065377817,0.064953631,0.01%
0.014,0.070434165,0.069942073,0.01%
0.015,0.075493793,0.074928738,0.01%
0.016,0.080556576,0.079913495,0.01%
